x,y,z
7.402597,0.408500,-1.980086
7.421877,0.403016,-1.992875
7.405879,0.417082,-2.003436
7.412012,0.414487,-2.005612
7.417638,0.410565,-2.004178
7.398987,0.412698,-1.984749
7.421249,0.406367,-1.999516
7.400882,0.417653,-1.998230
7.398358,0.416049,-1.991390
7.663243,0.323072,-1.961490
7.663293,0.332400,-1.982312
7.603950,0.355930,-1.957746
7.657535,0.344032,-2.000730
7.657389,0.316959,-1.940300
7.646531,0.356828,-2.014939
7.646305,0.314662,-1.920820
7.631359,0.369538,-2.023552
7.631074,0.316404,-1.904954
7.613503,0.380915,-2.025722
7.613187,0.322015,-1.894254
7.594713,0.389845,-2.021238
7.594396,0.330946,-1.889771
7.576827,0.395456,-2.010538
7.576542,0.342322,-1.891940
7.561596,0.397198,-1.994672
7.561369,0.355032,-1.900553
7.550512,0.394900,-1.975190
7.550366,0.367828,-1.914762
7.544658,0.388788,-1.954002
7.544608,0.379459,-1.933179
7.671070,0.295510,-1.970520
7.671135,0.307679,-1.997684
7.593722,0.338373,-1.965637
7.663623,0.322853,-2.021709
7.663433,0.287535,-1.942879
7.494454,-0.007669,-2.106775
7.417107,0.035194,-2.101891
7.494520,0.004500,-2.133938
7.649268,0.339546,-2.040246
7.648973,0.284538,-1.917466
7.487008,0.019674,-2.157964
7.486818,-0.015643,-2.079134
7.629477,0.356124,-2.051479
7.629104,0.286811,-1.896768
7.472653,0.036367,-2.176501
7.472357,-0.018641,-2.053721
7.606184,0.370965,-2.054310
7.605772,0.294130,-1.882812
7.452861,0.052945,-2.187733
7.452488,-0.016368,-2.033023
7.581673,0.382615,-2.048460
7.581260,0.305781,-1.876963
7.429569,0.067786,-2.190564
7.429156,-0.009049,-2.019066
7.558341,0.389935,-2.034505
7.557969,0.320621,-1.879793
7.405058,0.079436,-2.184714
7.404644,0.002602,-2.013217
7.538472,0.392207,-2.013807
7.538177,0.337200,-1.891027
7.381726,0.086756,-2.170759
7.381353,0.017442,-2.016047
7.524012,0.389210,-1.988394
7.523822,0.353893,-1.909564
7.361857,0.089028,-2.150061
7.361561,0.034021,-2.027281
7.516374,0.381237,-1.960753
7.516309,0.369067,-1.933590
7.347396,0.086031,-2.124648
7.347207,0.050714,-2.045818
7.339759,0.078058,-2.097007
7.339694,0.065888,-2.069844
7.466172,-0.015222,-2.113525
7.406878,0.017637,-2.109782
7.466222,-0.005893,-2.134347
7.460464,0.005739,-2.152765
7.460318,-0.021334,-2.092336
7.449460,0.018535,-2.166975
7.449234,-0.023632,-2.072855
7.434288,0.031244,-2.175587
7.434003,-0.021890,-2.056989
7.416432,0.042621,-2.177757
7.416116,-0.016279,-2.046290
7.397642,0.051552,-2.173273
